,AAPL_MA_PnL,AAPL_BB_PnL,MSFT_MA_PnL,MSFT_BB_PnL,TSLA_MA_PnL,TSLA_BB_PnL,JNJ_MA_PnL,JNJ_BB_PnL,PFE_MA_PnL,PFE_BB_PnL,MRK_MA_PnL,MRK_BB_PnL,JPM_MA_PnL,JPM_BB_PnL,BAC_MA_PnL,BAC_BB_PnL,WFC_MA_PnL,WFC_BB_PnL,XOM_MA_PnL,XOM_BB_PnL,CVX_MA_PnL,CVX_BB_PnL,SLB_MA_PnL,SLB_BB_PnL,PG_MA_PnL,PG_BB_PnL,KO_MA_PnL,KO_BB_PnL,WMT_MA_PnL,WMT_BB_PnL,GC=F_MA_PnL,GC=F_BB_PnL,CL=F_MA_PnL,CL=F_BB_PnL
AAPL_MA_PnL,3.6675560242693694,-0.12519908489099035,0.5421541379691026,-0.6061261386045449,-0.7173523574369832,-0.6234568882429853,-0.050974693954505275,0.2423917020779099,-0.312501629409494,0.34567172643143057,0.37567093930232287,0.0707927865468638,-0.21890034737790523,0.14073403064388876,-0.00698355258952104,0.09122746921597287,-0.14984885808651147,0.08443551629525464,-0.2993841852295491,-0.7692340524872975,-0.6322162598443475,0.568683169664788,-0.3816299807927631,0.2679218233144666,0.05532515720480196,0.14532479590804093,0.1259936165230053,-0.19553850355074642,-0.06699384832798551,-0.2442727751973188,-0.07833564552622443,-0.28606286241864987,0.9534821675612668,0.5570502694042813
AAPL_BB_PnL,-0.12519908489099035,4.44725908514433,1.3021686845485618,0.7557008460266363,0.5196971374224627,0.19062754518684089,0.10658033469780655,0.1765110285683817,-0.18989014215809885,-0.7257073057776409,-0.2638049446584898,-0.22942166497609245,0.39328701269972743,-0.4097718680213329,-0.6473972315481549,-0.4964270713694959,-1.5073582804431414,-1.0970983426889118,0.4638122057346756,-0.2877294127591565,-0.0502399605701176,0.3167818466089119,0.12787689446605835,-0.5410931692314218,-0.05069068462098013,-0.08263869080495366,0.11469108190320162,-0.06343158389180355,0.24234913281011497,-0.39247599213390116,0.274900182772524,0.04009830678588055,-0.818916508632237,-0.36684567229598963
MSFT_MA_PnL,0.5421541379691026,1.3021686845485618,6.47324625883199,0.46056498737024965,-0.3707067346263666,-1.0627843442540879,0.1109088303780356,-0.31786514513851316,-0.07993922580434065,0.5632834496044944,0.024624517506747202,-0.3463545692481453,-0.26245492485003713,-0.18964157204247634,0.09291119167505185,0.47542830987791346,0.38515164688138215,-0.6531047603540299,-0.006062408580260477,0.020258377200704315,-1.229194563738192,-0.5387147482185861,0.7468984203078824,-0.11802002400472865,-1.0475600345863483,0.18137742858072955,0.3492601197366839,0.6115157489062927,-0.5158993707573118,0.05886569628929322,0.047974605188754585,0.0021954699968706323,-0.1455291582914294,0.0006187182312157263
MSFT_BB_PnL,-0.6061261386045449,0.7557008460266363,0.46056498737024965,5.721915262892542,0.49604597580737875,1.1295765475740411,-0.3182979015936791,0.1387296310698487,0.22125420997673126,-0.4858117136860225,1.0686539157517339,-0.010047793892133158,-0.02609127500204167,-0.48207302153533677,-0.14586936482358162,-0.12233517394686388,0.09228930948656511,-0.34595802350887783,0.7071306164725498,0.41020989332331265,-0.01495466990484559,0.5457005927394138,0.10030027998201185,-0.015381106789863604,-0.00973717321314047,-0.24315953662563333,0.05490783778848537,-0.1318505849061873,0.25960346346430385,-0.3180642072170033,0.09157233941546974,0.029403533513343513,0.0003023455518320106,0.8225814733365646
TSLA_MA_PnL,-0.7173523574369832,0.5196971374224627,-0.3707067346263666,0.49604597580737875,16.48833852032304,0.02288784599693233,-0.4588064445938241,-0.30954908431477346,0.3971070958567045,-0.1405311459868123,-0.7678470366497483,-0.07713484791138402,0.8084986831715092,0.37789066560857515,-0.6023919268131083,0.028610902239721202,0.2317570545977811,0.033528323542765866,0.23381355914978857,0.3014110861973855,0.15140275122774563,-0.14308160508055107,1.340365806661719,-0.7317174959251762,0.023574970698164808,0.4940725913127297,1.087989918661583,0.32406524187490154,1.3780987067944666,0.4258293625266056,0.3172338584442811,0.015115100502390785,-1.2368686836975575,4.100162819045965
TSLA_BB_PnL,-0.6234568882429853,0.19062754518684089,-1.0627843442540879,1.1295765475740411,0.02288784599693233,41.761053447014724,0.22325024583317943,-0.21275580797115068,0.2674843575517914,-0.7827795639543503,-0.6251904693030401,-0.16502735670712207,-0.7388702335023694,1.6377899721921523,-0.4441163405045697,-0.993675854902148,0.6615020997977501,1.322904873425056,-0.03460509634138666,1.3912555110725293,0.004988096221531865,-0.7522178832753678,-2.542281966038229,1.2293368308963695,0.38352958462703196,-0.6141469811015957,0.02109566478508533,0.2739622532564122,0.4531308075816146,0.16803544937268036,-0.4352556230276304,0.4058989170631914,2.612401481648075,7.126190332163751
JNJ_MA_PnL,-0.050974693954505275,0.10658033469780655,0.1109088303780356,-0.3182979015936791,-0.4588064445938241,0.22325024583317943,0.9154082054404616,0.16852745541700664,-0.06925621103163884,-0.050180131393378305,-0.34986782837434727,-0.028928830557726794,0.08173657509694808,0.12407647829485495,0.059396233526087715,0.23262576209194394,-0.002185701149065977,-0.13576413027222808,-0.1533974720115823,0.08921578794367863,-0.23350533000053,0.15524977121701042,-0.16957334528772475,-0.30097942352706664,-0.06650002303985615,-0.042948512985008326,0.04238884000971574,-0.03395642211777928,0.06846392060158549,0.1610981869564626,-0.1412370853699184,0.18629416229350035,0.09484950771685849,-0.25934352653552484
JNJ_BB_PnL,0.2423917020779099,0.1765110285683817,-0.31786514513851316,0.1387296310698487,-0.30954908431477346,-0.21275580797115068,0.16852745541700664,2.0767633326360877,0.03008309497726243,0.15294252406308853,0.04059478435541532,0.23796586019703717,0.5226292146788212,0.2801237095116013,-0.21631192878958533,0.3388789468366711,-0.23112946388633965,0.12181077272505726,0.004775846194559115,-0.3877859902441826,-0.22964348634510381,0.4313575845160825,0.04205505406679746,-0.2784546144745871,0.10535487202981791,0.028410235445990296,-0.1953826883715898,-0.3204553526132826,0.23961157045427317,-0.25433264239968684,-0.040278853146755444,-0.05140038161505337,0.2895238154596431,0.3500788318959914
PFE_MA_PnL,-0.312501629409494,-0.18989014215809885,-0.07993922580434065,0.22125420997673126,0.3971070958567045,0.2674843575517914,-0.06925621103163884,0.03008309497726243,1.362529211370244,-0.08015606048652459,0.22870861633757086,-0.32965971741495925,0.44436993038034134,0.4259775836104458,0.07183984161339081,-0.3721628841518166,0.2486321218347858,-0.22333547906691675,0.1480493451524116,0.1872026905710873,0.27593531606710897,0.04565409082084973,0.17239171281433255,0.09874801183093607,0.1560417856151959,-0.04855622913724573,-0.10887774837372984,0.08809307175201615,0.5189574759074567,0.04492481600795722,-0.014711261772661431,0.3177888524525317,0.08822980696834598,0.106990121712076
PFE_BB_PnL,0.34567172643143057,-0.7257073057776409,0.5632834496044944,-0.4858117136860225,-0.1405311459868123,-0.7827795639543503,-0.050180131393378305,0.15294252406308853,-0.08015606048652459,3.5696464169886375,-0.281843105812073,0.02160942113525741,0.22718208715747115,-0.013783544098531405,-0.009484761624747956,-0.30682844696133466,0.48412724244845134,0.07928298027328101,-0.18112365801714278,-0.4357252341217552,-0.24427637916841538,0.228028200179237,-0.10727132382183878,-0.11419367822341053,-0.377743975779757,-0.0038698423283927866,0.16212442633066496,0.05736879897210491,-0.09881829039938998,-0.1712555363171225,0.08527675343152329,-0.011634935117344028,0.19811150230029093,-0.4562970871093326
MRK_MA_PnL,0.37567093930232287,-0.2638049446584898,0.024624517506747202,1.0686539157517339,-0.7678470366497483,-0.6251904693030401,-0.34986782837434727,0.04059478435541532,0.22870861633757086,-0.281843105812073,2.6378905973821674,0.09523893416542364,-0.552391486081404,0.13471568431844252,0.4368284947687404,0.279630002536037,0.00821990489573928,0.17677045582011544,0.5100460453449415,0.18325322239034839,-0.1326271433873388,-0.21481559516827628,-0.42315614204757734,0.8765781126908001,-0.08494836241264375,0.33798786153768445,-0.09847672823289404,-0.0008962946574903087,-0.02973051438856994,0.13754376709602506,0.23418925760743411,-0.2109485004188318,-0.40548229464494506,-0.5931157679267528
