Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,6.414464784362005,6.446622696457914,6.382907969735801,6.431896209716797,493729600,0.0,0.0
2010-01-05 00:00:00-05:00,6.449628601266614,6.4793821235584055,6.409054923226288,6.443016529083252,601904800,0.0,0.0
2010-01-06 00:00:00-05:00,6.443016052849092,6.468562292220805,6.333919277487496,6.340531349182129,552160000,0.0,0.0
2010-01-07 00:00:00-05:00,6.363975455361627,6.371489175686539,6.282828880919672,6.3288116455078125,477131200,0.0,0.0
2010-01-08 00:00:00-05:00,6.320395339759796,6.371487824601399,6.28312889991774,6.370886325836182,447610800,0.0,0.0
2010-01-11 00:00:00-05:00,6.3955290970677305,6.401540070337812,6.264793638576038,6.31468391418457,462229600,0.0,0.0
2010-01-12 00:00:00-05:00,6.287035012483797,6.304467241714201,6.203785414119402,6.242855548858643,594459600,0.0,0.0
2010-01-13 00:00:00-05:00,6.247364278748396,6.3393293853526735,6.13405981009821,6.33091402053833,605892000,0.0,0.0
2010-01-14 00:00:00-05:00,6.314687331622819,6.32520613927155,6.281927910838414,6.294250011444092,432894000,0.0,0.0
2010-01-15 00:00:00-05:00,6.339331009977166,6.359467780943507,6.187256918259282,6.189060211181641,594067600,0.0,0.0
2010-01-19 00:00:00-05:00,6.261188612985054,6.467360232264817,6.228430004309414,6.4628520011901855,730007600,0.0,0.0
2010-01-20 00:00:00-05:00,6.458945455016173,6.4781801747506105,6.296352585470449,6.363373756408691,612152800,0.0,0.0
2010-01-21 00:00:00-05:00,6.373891654424182,6.410857943534868,6.227527235262426,6.253373622894287,608154400,0.0,0.0
2010-01-22 00:00:00-05:00,6.2146043678042755,6.2362430730554,5.925483321439905,5.9432148933410645,881767600,0.0,0.0
2010-01-25 00:00:00-05:00,6.086273309479745,6.152091477371567,6.01654760669144,6.1031036376953125,1065699600,0.0,0.0
2010-01-26 00:00:00-05:00,6.189661644265148,6.422882325061218,6.088379093904447,6.189361095428467,1867110000,0.0,0.0
2010-01-27 00:00:00-05:00,6.216707857698517,6.32880972200794,5.99671100864949,6.247663974761963,1722568400,0.0,0.0
2010-01-28 00:00:00-05:00,6.159004404414492,6.17613487872311,5.9717665666860675,5.989498138427734,1173502400,0.0,0.0
2010-01-29 00:00:00-05:00,6.043297211360738,6.076957874297585,5.7178100850159295,5.772208213806152,1245952400,0.0,0.0
2010-02-01 00:00:00-05:00,5.78152390117745,5.89062069011857,5.749365987374977,5.852451801300049,749876400,0.0,0.0
2010-02-02 00:00:00-05:00,5.887915765466296,5.9002378621722595,5.811878541579908,5.886412620544434,698342400,0.0,0.0
